0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
44853.png	\begin {array} { c c c c c } & S O ( 2 n - 1 ) & \subset & S O ( 2 n ) & R _ M = { \bf 2 n } \\ & S p ( 2 n ) & \subset & S U ( 2 n ) & R _ M = { \bf ( n + 1 ) ( 2 n + 1 ) } \\ & G _ 2 & \subset & S O ( 7 ) & R _ M = { \bf 7 } { \rm \ o r \ } { \bf 8 } \\ & F _ 4 & \subset & E _ 6 & { \bf 2 7 } \\ \ast & G _ 2 & \subset & F _ 4 & \ast \\ \ast & G _ 2 & \subset & E _ 6 & \ast \\ \ast & G _ 2 & \subset & E _ 7 & \ast \\ \ast & G _ 2 & \subset & E _ 8 & \ast \\ \ast & S p ( 8 ) & \subset & E _ 6 & \ast \\ \ast & S p ( 6 ) & \subset & E _ 7 & \ast \\ \ast & F _ 4 & \subset & E _ 7 & \ast \\ \ast & F _ 4 & \subset & E _ 8 & \ast \end {array}
44877.png	{ { \pi } \o { n - 1 } } ( j _ { \varphi } - ( f _ + - f _ - ) { { n - 1 } \o { n + 1 } } )
44888.png	\begin {array} { c c c } J & = & \left ( \begin {array} { c c c } \alpha & c & \bar { b } \\ \bar { c } & \beta & a \\ b & \bar { a } & \gamma \end {array} \right ) \end {array}
44932.png	{ \cal L } = \frac { 2 f ^ 2 } { ( 1 + \theta \bar { \theta } ) ^ 2 } \left [ ( \dot { \theta } + i \dot { \alpha } \theta ) ( \dot { \bar { \theta } } - i \dot { \alpha } \bar { \theta } ) + g ^ { 0 k } \partial _ k \bar { \theta } ( \dot { \theta } + i \dot { \alpha } \theta ) + g ^ { 0 k } \partial _ k \theta ( \dot { \bar { \theta } } - i \dot { \alpha } \bar { \theta } ) \right ] .
44989.png	\Phi ^ { ( \pm ) } = e ^ { - i \omega t + i \vec { k } \cdot \vec { x } } r ^ { \frac { d } { 2 } } J _ { \pm \nu } ( | q | r )
45002.png	X ^ a { } _ b = \left ( \begin {array} { c c c c } - k _ 1 ^ { \, 2 } A + k ^ 2 m ^ 2 & - k _ 0 k _ 1 A & k _ 0 k _ 2 \, k ^ 2 & k _ 0 k _ 3 \, k ^ 2 \\ k _ 0 k _ 1 A & k _ 0 ^ { \, 2 } A + k ^ 2 m ^ 2 & - k _ 1 k _ 2 \, k ^ 2 & - k _ 1 k _ 3 \, k ^ 2 \\ - k _ 0 k _ 2 \, k ^ 2 & - k _ 1 k _ 2 \, k ^ 2 & k _ 3 ^ { \, 2 } B - k ^ 2 l ^ 2 & - k _ 2 k _ 3 B \\ - k _ 0 k _ 3 \, k ^ 2 & - k _ 1 k _ 3 \, k ^ 2 & - k _ 2 k _ 3 B & k _ 2 ^ { \, 2 } B - k ^ 2 l ^ 2 \end {array} \right )
45039.png	
45055.png	{ \Psi } ' \ = \ \left ( \begin {array} { c } { \Psi } ' _ 1 \\ { \Psi } ' _ 2 \end {array} \right ) \ , \ \ { \rm o n } \ V _ + \ , \
45063.png	\Lambda = { 1 \over { \sqrt { 2 } } } \left ( \begin {array} { r r } 1 & i \\ 1 & - i \\ \end {array} \right ) \quad { \rm { a n d } } \quad \tilde { { \cal G } } _ { a b } = \left ( \begin {array} { c c } 0 & 1 \\ 1 & 0 \\ \end {array} \right ) \; .
45065.png	h _ { a b } = - f _ { a b ' } ^ { ~ ~ c ' } f _ { b c ' } ^ { ~ ~ b ' } .
45093.png	\frac { f _ 0 ( W _ 1 , \ldots , W _ n , g ^ 2 ) } { \displaystyle \prod _ { i = 1 } ^ n \tilde { f } _ 0 ( W _ i , g ^ 2 ) }
45141.png	( n ) _ { q } \equiv 1 + q + \cdots + q ^ { n - 1 } = \frac { 1 - q ^ { n } } { 1 - q } \; ,
45165.png	
45209.png	{ 1 \over 2 } \partial _ { \, [ \mu } S \partial _ { \nu ] } U \partial ^ { \, [ \mu } S \partial ^ { \nu ] } U = - \left ( m ^ 4 + \kappa R \right ) \ .
45227.png	O ^ { - 1 } ( x ) = \pi \left [ \Delta _ { \frac { e ^ 2 } { \pi } } ( x ) - \Delta _ 0 ( x ) \right ] \makebox [ . 5 i n ] { , } ( \partial ^ 2 - \mu ^ 2 ) \Delta _ { \mu ^ 2 } ( x ) = \delta ^ { ( 2 ) } ( x ) .
45265.png	\left . \begin {array} { l l } \mbox { n i l p o t e n c e } & Q _ B ^ 2 = 0 , \\ \mbox { o d d d e r i v a t i o n } & Q _ B ( A * B ) = ( Q _ B A ) * B + ( - 1 ) ^ A A * ( Q _ B B ) , \\ \mbox { p a r t i a l i n t e g r a b i l i t y } & \int Q _ B ( \ldots ) = 0 , \\ & \int A * B = ( - 1 ) ^ { A B } \int B * A , \end {array} \right .
45388.png	i [ \textup { \boldmath \pi } , F ( \phi ) ] \mid 0 \rangle = - R e \int \; d q \frac { 1 } { \phi - q - i \epsilon } \rho ( q ) \mid 0 \rangle \langle 0 \mid \frac { 1 } { \phi - q - i \epsilon } \mid 0 \rangle
45391.png	
45494.png	T _ { + } P _ { m } ( \xi _ { 1 } , \cdots , \xi _ { N } ) = 0 , \; \; \; T _ { 0 } P _ { m } = \mu _ { m } P _ { m } ,
45515.png	g _ { s t } \longrightarrow g _ { s t } \frac { \sqrt { \alpha ^ { ' } \hbar } } { R }
45519.png	\tilde F + F = \delta _ { \mu \nu } \Delta _ + - \partial _ \nu \Phi _ \mu ^ \dag - \partial _ \mu \Phi _ \nu - [ \Phi _ \nu , \Phi _ \mu ^ \dag ] \, .
45591.png	S _ D = \int d ^ { 4 } \sigma \left ( - \sqrt { - { \rm d e t } \, ( G _ { \mu \nu } + \tilde F _ { \mu \nu } ) } + { 1 \over 4 } \epsilon ^ { \mu \nu \rho \tau } \tilde F _ { \mu \nu } b _ { \rho \tau } \right ) .
45627.png	{ \delta \over \delta y ^ \mu ( \, \vec s \, ) } = y ^ { \mu _ 2 \dots \mu _ { p + 1 } } ( \, \vec s \, ) { \delta \over \delta \sigma ^ { \mu \mu _ 2 \dots \mu _ { p + 1 } } ( \, \vec s \, ) } \ , \qquad y ^ { \mu _ 2 \dots \mu _ { p + 1 } } ( \, \vec s \, ) \equiv \epsilon ^ { m _ 2 \dots \mu _ { p + 1 } } \, \partial _ { m _ 2 } \, y ^ { \mu _ 2 } \dots \partial _ { m _ { p + 1 } } \, y ^ { \mu _ { p + 1 } } \ .
45758.png	e _ 4 ( D \bar { D } \bar { \S } ) ^ 2 + \bar { e } _ 4 ( \bar { D } D \S ) ^ 2
45834.png	r ^ { \alpha + \beta } \nabla ^ a [ r ^ { - \alpha } \nabla _ a ( r ^ { - \beta } \Phi ) ] - ( k ^ 2 + \gamma K ) r ^ { - 2 } \Phi + \Delta r ^ { - 2 } = 0 ,
45865.png	
45880.png	{ \cal L } = \sum _ { i = 1 } ^ { N } \overline { \psi } _ i ( { \ooalign { \hfil / \hfil \crcr \partial } } - m ) \psi _ i + \sum _ { i > j = 1 } ^ { N } { 1 \over 2 } g j _ { i \mu } j _ j ^ { \mu } ,
45885.png	S _ 1 ^ { B W } [ \beta , \epsilon , r _ B ] = \left ( \alpha { \partial \over \partial \alpha } - 1 \right ) W _ 1 [ Q _ { \alpha , \epsilon _ z } ] ~ ~ ~ .
45892.png	\zeta + a _ 0 \frac { 1 } { \zeta } x _ 1 ^ { 4 - n } z ^ { 6 - n } \to \zeta + a _ 0 \frac { 1 } { \zeta } \prod _ { i = 1 } ^ { N _ s } ( x _ 1 - m ^ 4 _ i ) \prod _ { j = 1 } ^ { N _ f } ( z - m _ j ^ 2 ) ,
45900.png	\protectu _ { { \cal { S } } , { \cal { M } } } ( N , p ) \asymp f _ { { \cal { S } } , { \cal { M } } } ( z ) ; ~ ~ z = ( p - p _ c ) N ^ { 1 / \nu d _ H } .
45907.png	y ^ 2 = x ^ 3 + a ( z ) x + b ( z ) .
45910.png	k = { u _ 1 \over 2 } \, \Big [ \, { { \cal E } _ 1 + \sqrt { { \cal E } _ 1 ^ 2 + \mu ^ 2 } \over K + \sqrt { K ^ 2 + \mu ^ 2 } } - { K + \sqrt { K ^ 2 + \mu ^ 2 } \over { \cal E } _ 1 + \sqrt { { \cal E } _ 1 ^ 2 + \mu ^ 2 } } \, \Big ] \, .
45982.png	
45995.png	\Gamma \left \{ \begin {array} { l } \mbox { I n t r a n s i t i v e ( R e d u c i b l e ) } \\ \mbox { T r a n s i t i v e ( I r r e d u c i b l e ) } \left \{ \begin {array} { l } I m p r i m i t i v e \\ P r i m i t i v e \end {array} \right . \end {array} \right .
46005.png	\hat { \cal R } _ { \mu \nu } = \hat { G } ( \partial _ \mu A _ \nu - \partial _ \nu A _ \mu )
46016.png	J = - \varepsilon { { 8 \pi G Q _ e ^ 2 } \over | \Lambda | ^ { 1 \over 2 } } \Bigl ( 1 - { \rm l n } | { { r ^ 2 - r _ 0 ^ 2 } \over { r ^ 2 - r _ { \infty } ^ 2 } } | \Bigr ) ,
46019.png	G \equiv { 1 \over b } { \psi \sp \prime \over \psi } = B + { b \over 2 } V \quad \quad { \rm a n d } \quad \quad H = A \sp \prime - C .
46031.png	
46091.png	B _ 5 = { \l } ^ { A } { \bar { \l } } ^ { { B } } Z _ { A B } = 0 ,
46093.png	U ( \tau ) = \sum _ { m n } \: K _ { m n } ( \tau ) \: | m ; \tau \rangle \langle n ; 0 | \; .
46158.png	
46209.png	\mu ( N ) = \sum _ { r | N } \frac { 1 } { r ^ 3 } \sp ( \mbox { N S 5 - b r a n e o n } \; \, K _ 3 \times T ^ 2 ) \ .
46220.png	\gamma _ n ( T ) = - 2 \pi n ( 1 - \cos \theta _ 0 ) = - n \Omega ( C ) \; ,
46251.png	\phi ^ { - 1 } _ { \bar z } = ( \lambda \phi ^ { - 1 } ) _ y , \quad \phi ^ { - 1 } _ { \bar y } = - ( \lambda \phi ^ { - 1 } ) _ z , \quad \framebox ( 1 0 , 1 0 ) { } \; \phi ^ { - 1 } = 0
46256.png	S ^ { ( 0 ) } _ { \mu \nu } d y ^ { \mu } d y ^ { \nu } = N ^ 2 \rho d y ^ 0 d y ^ 0 + r ^ 2 p \Omega _ { i j } d y ^ i d y ^ j ,
46258.png	G ^ \pm = { 1 \over \sqrt 2 } \left ( \pm \partial X ^ \mu \epsilon ^ \pm _ \mu - { 3 \over 2 } s ^ \pm \right ) .
46274.png	\begin {array} { c c c c c } F _ { 4 ( 4 ) } & \rightarrow & S O ( 5 , 4 ) & \rightarrow & S O ( 5 ) \times S O ( 4 ) \\ { \bf 2 6 } & & { \bf 9 } + { \bf 1 6 } + { \bf 1 } & & [ ( { \bf 5 } ; { \bf 1 } , { \bf 1 } ) + ( { \bf 1 } ; { \bf 2 } , { \bf 2 } ) ] \, + \\ & & & & [ ( { \bf 4 } ; { \bf 1 } , { \bf 2 } ) + ( { \bf 4 } ; { \bf 2 } , { \bf 1 } ) ] + ( { \bf 1 } ; { \bf 1 } , { \bf 1 } ) \ . \\ \end {array}
46291.png	\left ( \begin {array} { c } ( d _ + ) ^ m \chi _ 1 ^ { ( n ) } ( z , \bar { z } ) \\ 0 \end {array} \right ) \; \; \; \makebox { a n d } \; \; \; \left ( \begin {array} { c } 0 \\ ( d _ + ) ^ { m - 1 } \chi _ 1 ^ { ( n ) } ( z , \bar { z } ) \end {array} \right ) ,
46293.png	\left \{ \begin {array} { l } J ^ 0 _ z = 2 i \left ( - \frac { 1 } { 2 } \partial _ z \tilde { \Phi } - e ^ { - \tilde { \Phi } } X \partial _ z Y \right ) = 0 \\ \frac { 1 } { 2 } \left ( J ^ 1 _ z + i J ^ 2 _ z \right ) = - e ^ { - \tilde { \Phi } } \partial _ z Y = - i , \end {array} \right . \hspace { 1 0 m m } \left \{ \begin {array} { l } \bar { J } ^ 0 _ { \bar { z } } = 2 i \left ( - \frac { 1 } { 2 } \partial _ { \bar { z } } \tilde { \Phi } - e ^ { - \tilde { \Phi } } Y \partial _ { \bar { z } } X \right ) = 0 \\ \frac { 1 } { 2 } \left ( \bar { J } ^ 1 _ { \bar { z } } - i \bar { J } ^ 2 _ { \bar { z } } \right ) = - e ^ { - \tilde { \Phi } } \partial _ { \bar { z } } X = - i , \end {array} \right .
46299.png	
46323.png	L _ { r e d } \, = \, \sum _ { \alpha } p _ { \alpha } \sp { \underline { a } } \cdot \vec { x } \, _ { \alpha } \sp { \underline { a } } \, - \, H _ { r e d } \, .
46327.png	m = m _ 0 z ^ { - y } \, f ( \b , 1 ) = m _ 0 ^ { 1 - y } \mu ^ y f ( \b , 1 )
46401.png	{ \cal R } _ { \cal M } \gamma ^ 0 \left ( \rlap \slash p - \Sigma \right ) ^ * { \cal R } ^ { - 1 } _ { \cal M } = \gamma ^ 0 \left ( \rlap \slash p - \Sigma \right ) .
46402.png	{ \cal L } _ { e f f } \propto - \eta ^ { \mu \nu } \lambda ^ p { } _ { , \mu } \lambda ^ p { } _ { , \nu } .
46464.png	
46469.png	\raisebox { 2 . 0 m m } { { \tiny D } } \hat { P } ^ { \nu } _ { \mu } \cdot ( \partial _ { \nu } \chi ) = 0
46499.png	E = 4 \pi
46545.png	
46571.png	\times \delta _ { V _ u Q } \delta _ { v _ u q } \delta _ { P W _ u } \delta _ { p w _ u } \left ( 1 - \delta _ { V _ u W _ u } \right ) \delta _ { S _ 1 V _ 1 } \delta _ { W _ 1 R _ 1 } \left ( \delta _ { E _ 1 S _ 1 } \left ( t _ { \alpha _ 1 } \right ) _ { s _ 1 v _ 1 } \delta _ { w _ 1 r _ 1 } - \delta _ { s _ 1 v _ 1 } \delta _ { E _ 1 W _ 1 } \left ( t _ { \alpha _ 1 } \right ) _ { w _ 1 r _ 1 } \right ) \times
46575.png	\partial _ U \partial _ { \bar { U } } \Delta + \frac { 1 } { 2 S ' _ { 2 } } \sqrt { G } \; \partial _ U \partial _ { \bar { U } } \delta \ = - \frac { b } { ( U - \bar { U } ) ^ 2 } + K ^ { ( 1 ) } _ { U \bar { U } } \
46618.png	
46642.png	Z _ { \phi A } \left [ \, e \ ; \Lambda \, \right ] \longrightarrow \exp \left \{ - i \, \Lambda \, \Omega _ { p + 1 } \, \right \} \ .
46661.png	\partial _ \rho ( \sqrt { - g } g ^ { \mu \nu } g ^ { \rho \sigma } F _ { \nu \sigma } ) = 0 .
46681.png	\tilde { \Sigma } ( Q ) \simeq \gamma ^ 0 \, { \cal H } _ 0 ( Q ) + \hat { { Q \kern - 0 . 1 e m \raise 0 . 3 e x \llap { / } \kern 0 . 1 5 e m \relax } } _ \tau \, { \cal H } _ v ( Q ) \, ,
46685.png	\setcounter { e q u a t i o n } { 1 7 5 } B _ k = \left \{ \begin {array} { l l } A _ k \\ { 1 \over 2 } A _ k \\ A _ k \Big \vert _ { ( j = 1 ) } - A _ k \Big \vert _ { ( j = 0 , \xi = 0 ) } \end {array} \right .
46697.png	( K - K ' ) _ \mu \displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \! S _ { j i _ 2 } ( K ' ) \left ( \displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \Gamma ^ \mu ( K ' , K ) \right ) ^ \ell _ { i _ 2 i _ 1 } \displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \! S _ { i _ 1 i } ( K ) = \delta _ { \ell i } \displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \! S _ { j i } ( K ' ) - \delta _ { \ell j } \displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \! S _ { j i } ( K ) \, .
46719.png	{ C ^ { \dag } _ j { \bar { \bf X } } _ { j i } + C _ j { \bar { \bf Y } } _ { j i } }
46731.png	\det { \widetilde { \cal M } _ n } = \prod _ { r = 1 } ^ n \{ 2 - 2 ~ C \cos ( { 2 \pi r \over n } ) \} = 2 ^ n { ( 1 - \xi ^ n ) ^ 2 \over ( 1 + \xi ^ 2 ) ^ n }
46743.png	( B + i J ) _ l = \frac { \displaystyle \int _ { \gamma _ l } \Omega } { \displaystyle \int _ { \gamma _ 0 } \Omega } ,
46756.png	\chi = \int d ^ 3 x \: [ F ( \mathbf { x } ) \: \phi ( t \! = \! 0 , \mathbf { x } ) + G ( \mathbf { x } ) \: \dot { \phi } ( t \! = \! 0 , \mathbf { x } ) ] ,
46776.png	i g \phi \bar { \psi } \gamma _ { 5 } \psi \longrightarrow \frac { i g } { 2 M } \xi ^ { \dag } \mbox { \boldmath \sigma } \cdot ( \mbox { \boldmath \nabla } \phi ) \xi
46837.png	A = \left [ \begin {array} { c c } - \i s & 0 \\ 0 & \i s \end {array} \right ] \, ,
46870.png	\int _ { 0 } ^ { \infty } \! \! d r \, \exp \left [ - v _ { _ { F } } ( r ; x ) \right ] \simeq ( 2 \pi ) ^ { { 1 \over 2 } } \exp \left [ - \left \{ v _ { _ { F } } ( r _ { 0 } ( x ) ; x ) + { 1 \over 2 } \ln \left [ v ' ' _ { _ { F } } ( r _ { 0 } ( x ) ; x ) \right ] \right \} \right ] ,
46928.png	P _ { \alpha } ( \theta _ 1 ) \dot { P } _ { \alpha } ( \theta _ 2 ) = \nu P _ { \alpha } ( \theta _ 1 ) D _ { \beta } ( \theta _ 2 ) \Omega _ { \beta \alpha } ( \theta _ 2 ) - P _ { \alpha } ( \theta _ 1 ) V _ { \beta } ( \theta _ 2 ) \Omega _ { \beta \alpha } ( \theta _ 2 )
46990.png	\begin {array} { r c c c l } \dot { \varphi } _ { 1 } & = & [ \varphi _ { 1 } , H ] & = & \varphi _ { 2 } , \\ \dot { \varphi } _ { 2 } & = & [ \varphi _ { 2 } , H ] & = & \partial _ { i } ^ { \makebox [ 1 m m ] { } 2 } \varphi _ { 1 } . \end {array}
47005.png	{ G ( r ) ^ { { d - 4 \over 2 } } \, r ^ { d - 3 } \over H ( r ) } \, { d \psi _ { \l } ( r ) \over d r }
47055.png	\begin {array} { l } L _ 1 \varphi _ { 1 E } = i E \chi _ { 1 E } \\ L _ 1 ^ \dag \chi _ { 1 E } = - i E \varphi _ { 1 E } \end {array}
47063.png	\P _ 1 \P _ 2 - { q \over r ^ 2 } { q _ { 0 1 } \over q _ { 0 2 } } \P _ 2 \P _ 1 = 0
47071.png	\mbox { n i s e v e n } , \quad \l = m , \quad \eta = c _ 1 ( B ) m o d 2
47168.png	
47213.png	
47244.png	S _ { i n } ^ { \mp } \left ( x , x ^ { \prime } \right ) = i \int _ { - \infty } ^ { + \infty } d p _ { - } \sum _ { n r } \smallskip \ _ { \pm } \psi _ { p _ { - } , n , r } \left ( x \right ) _ { \pm }
47264.png	\left ( \begin {array} { c c } a & b \\ c & d \end {array} \right ) \mapsto \frac { a i + b } { c i + d } , \quad \hbox { w h e r e \ } \left ( \begin {array} { c c } a & b \\ c & d \end {array} \right ) \in S l ( 2 ) .
47286.png	\partial = \cases { \partial _ x , & i f D = 2 \cr \epsilon _ { k m n } \partial _ n , & i f D = 4 \cr }
47302.png	\slash { D } ^ { 2 } = D _ { \mu } D ^ { \mu } - \frac { i g } { 4 } [ \gamma ^ { \mu } , \gamma ^ { \nu } ] F _ { \mu \nu }
47343.png	\biggl ( { 1 \over 2 } W _ { n p } ^ { ( 2 ) } - { \partial \over \partial t _ { n p + 1 } } - a _ { 1 , n , c } \biggr ) \tau = 0 \, , \quad n = 0 , 1 , 2 , \ldots .
47374.png	S _ 1 ^ { C S } [ \beta , r _ B ] = \frac 1 6 \sigma ( r _ h ) ~ ~ ~
47443.png	\partial _ { z } { \bf \hat e { _ { i } } } = ( A _ { z } ) _ { i j } { \bf \hat e { _ { j } } } \ \ \ \ ( i , j = 1 , 2 , 3 . ) .
47494.png	\phi _ 2 = \frac { g \phi _ 1 } { s - m ^ 2 } \to \phi ^ { r e n } _ 2 = \frac { g } { \sqrt { Z _ 1 } ( s - m ^ 2 ) } = \frac { g _ { r e n } } { s - m ^ 2 }
47532.png	T ( \psi \phi ) ( x , y ) = T ( \psi ) ( x + L , y ) T ( \phi ) ( x , y )
47558.png	\alpha ' ( \gamma , \mu ) = { \beta ( \gamma ) \beta ( \mu ) \over \beta ( \gamma \mu ) } \alpha ( \gamma , \mu )
47566.png	\ldots \to 0 \to \O _ { X \times X } \to \underline { \O _ \Delta } \to 0 \to \ldots ,
47632.png	D _ \mu \Bigl ( g ^ { \mu \nu } \Theta ^ P _ { \nu \alpha } \Bigm | _ { \raisebox { - . 2 e x } { \scriptstyle \rm t r a c e l e s s } } \, \Bigr ) = \frac { 1 } { 4 8 \pi } \partial _ \alpha { \it R }
47636.png	L [ \phi , \psi _ i ] = - \int _ { 0 } ^ { \infty } { \rm d } r ~ \left [ 4 \pi r ^ 2 \left \{ \frac { 1 } { 2 } \left ( \frac { { \rm d } \phi } { { \rm d } r } \right ) ^ 2 + U ( \phi ) \right \} + \sum _ i \sum _ { K M } \psi _ i ^ { \dagger } H _ f \psi _ i \right ] ~ ~ ,
47676.png	\left | { i _ 1 , i _ 2 , \ldots , i _ n } \right \rangle = { \textnormal { T r } } ( \phi _ { i _ 1 } \phi _ { i _ 2 } \ldots \phi _ { i _ n } ) \left | { i _ 1 } \right \rangle \left | { i _ 2 } \right \rangle \ldots \left | { i _ n } \right \rangle
47716.png	T = \frac { 3 - 2 \kappa } { 4 \pi r _ H \cosh \alpha } \sp S = \frac { V _ 5 V ( S ^ { 4 } ) } { 4 G } r _ 0 ^ { 3 } r _ H \cosh \alpha
47729.png	\protect x _ { \gamma } \ll 1 , \quad \quad \mbox { a n d } \quad \quad \vec k _ { \gamma _ { \! \perp } } ^ 2 \ll M ^ 2 _ { e \bar { e } } .
47745.png	\tau = - a ( r ) \cosh t / 4 m , ~ ~ \zeta = - a ( r ) \sinh t / 4 m ,
47772.png	\tilde { j } _ \Omega ( { \bf p } ) = \pi ^ { 3 / 2 } a ^ 2 b \exp \left \{ \frac { 1 } { 4 } \left [ - a ^ 2 ( p _ x ^ 2 + p _ y ^ 2 ) - b ^ 2 p _ z ^ 2 \right ] \right \} .
47826.png	\begin {array} { r l } { \rm S U } ( n ) : & t + \mu / t - ( v ^ { n } + u _ 2 v ^ { n - 2 } + \cdots + u _ { n } ) = 0 \nonumber \\ { \rm S O } ( 2 n ) : & v ^ 2 ( t + \mu / t ) - ( v ^ { 2 n } + u _ 2 v ^ { 2 ( n - 1 ) } + \cdots + u _ { 2 n - 2 } v ^ 2 + u _ { 2 n } ) = 0 \nonumber \\ { \rm S O } ( 2 n + 1 ) : & v ( t + \mu / t ) - ( v ^ { 2 n } + u _ 2 v ^ { 2 ( n - 1 ) } + \cdots + u _ { 2 n } ) = 0 \nonumber \\ { \rm S p } ( 2 n ) : & ( t + \mu / t ) ^ 2 - v ^ 2 ( v ^ { 2 n } + u _ 2 v ^ { 2 ( n - 1 ) } + \cdots + u _ { 2 n } ) = 0 \\ { \rm G } _ 2 : & 3 ( t - \mu / t ) ^ 2 + 2 ( t + \mu / t ) [ u _ 2 v ^ 2 - 3 v ^ 4 ] - v ^ 8 + 2 u _ 2 v ^ 6 - u _ 2 ^ 2 v ^ 4 + u _ 6 v ^ 2 = 0 \nonumber \\ { \rm E } _ 6 : & x ^ 3 ( t + \mu / t - u _ { 1 2 } ) ^ 2 - 2 ( t + \mu / t - u _ { 1 2 } ) q _ { 1 5 } ( v ) - \frac { 1 } { x ^ 3 } [ q _ { 1 5 } ^ 2 ( v ) - p _ { 1 0 } ^ 2 ( v ) r _ { 1 0 } ( v ) ] , \nonumber \end {array}
47840.png	
47849.png	\tau ^ - = \begin {array} { c } \left ( \begin {array} { c c c } 0 & 0 & 0 \\ 1 & 0 & 0 \\ 0 & 0 & 0 \end {array} \right ) , \qquad \varepsilon ^ 0 = \left ( \begin {array} { c c c } 0 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1 \end {array} \right ) , \qquad \varepsilon ^ z = \left ( \begin {array} { c c c } 0 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & - 1 \end {array} \right ) , \end {array}
47875.png	E _ { \textup { \scriptsize { p a c k e t } } } = \frac { 1 } { G _ N } ( \sqrt { ( d / 2 ) ^ 2 - ( \delta R ) ^ 2 } - d / 2 ) \sim \frac { ( \delta R ) ^ 2 } { G _ N d }
47913.png	\Omega _ i = \frac { l _ i } { ( l _ i ^ 2 + r _ H ^ 2 ) } \frac { r _ 0 ^ { 3 / 2 } } { ( \pi N ) ^ { 1 / 2 } } \sp J _ i = \frac { 4 } { 3 } \frac { V _ 5 ( \pi N ) ^ { 1 / 2 } } { ( 2 \pi ) ^ 6 } r _ 0 ^ { 3 / 2 } l _ i
47921.png	\begin {array} { l l } \begin {array} { | c | c | c | c | c | c | c | c | c | } \hline & 1 & 2 & 2 & \cdots & 2 & 1 & n / 2 & n / 2 \\ \hline \Gamma _ { 1 } & 1 & 1 & 1 & \cdots & 1 & 1 & 1 & 1 \\ \hline \Gamma _ { 2 } & 1 & 1 & 1 & \cdots & 1 & 1 & - 1 & - 1 \\ \hline \Gamma _ { 3 } & 1 & - 1 & 1 & \cdots & ( - 1 ) ^ { m - 1 } & ( - 1 ) ^ { m } & 1 & - 1 \\ \hline \Gamma _ { 4 } & 1 & - 1 & 1 & \cdots & ( - 1 ) ^ { m - 1 } & ( - 1 ) ^ { m } & - 1 & 1 \\ \hline \Gamma _ { 5 } & 2 & 2 \cos \phi & 2 \cos 2 \phi & \cdots & 2 \cos ( m - 1 ) \phi & 2 \cos m \phi & 0 & 0 \\ \hline \Gamma _ { 6 } & 2 & 2 \cos 2 \phi & 2 \cos 4 \phi & \cdots & 2 \cos 2 ( m - 1 ) \phi & 2 \cos 2 m \phi & 0 & 0 \\ \hline \vdots & \vdots & \vdots & \vdots & \cdots & \vdots & \vdots & \vdots & \vdots \\ \hline \Gamma _ { \frac { k ' + 6 } { 2 } } & 2 & 2 \cos ( m - 1 ) \phi & 2 \cos 2 ( m - 1 ) \phi & \cdots & 2 \cos ( m - 1 ) ^ { 2 } \phi & 2 \cos m ( m - 1 ) \phi & 0 & 0 \\ \hline \end {array} & \begin {array} { l } k ' e v e n \\ m = \frac { k ' } { 2 } \\ \phi = \frac { 2 \pi } { k ' } \end {array} \end {array}
47930.png	{ \cal H } _ { { \ss ( S ) } x } = T ^ \alpha _ { , x } { \cal H } _ { { \ss ( S ) } \alpha } ,
47970.png	y ^ { 2 } = - 4 \left ( x + { 1 \o 6 4 } \right ) ^ { 4 } + \left \{ \left ( x + { 1 \o 6 4 } \right ) f ( x ) - ( u - u _ { 0 } ) x - ( v - v _ { 0 } ) \right \} ^ { 2 }
48041.png	U ' = - \Delta ' f K ^ \dag ( 1 - K f K ^ \dag ) ^ { - 1 / 2 } _ \Pi ,
48063.png	B _ 1 = { \l } ^ { A } { \bar { \l } } ^ { \dot { B } } P _ { A \dot { B } } = 0 ,
48091.png	x _ 0 ^ 2 + x _ 1 ^ 3 + x _ 2 ^ { 1 2 } + x _ 3 ^ { 1 2 } + \psi x _ 0 x _ 1 x _ 2 x _ 3 + \phi x _ 2 ^ 6 x _ 3 ^ 6 ,
48110.png	\langle \sigma _ s \rangle = \langle { 1 \over N } \makebox { t r } \left [ ( U + g \sigma _ s + g \Phi ^ 2 ) ^ { - 1 } \right ] \rangle = { 1 \over ( U + g \sigma _ s ) } f \left ( { - g \over U + g \sigma _ s } \right )
48229.png	\langle \O _ { \Delta } ( x ) \O _ { \Delta _ 1 } ( x _ 1 ) \cdots \O _ { \Delta _ n } ( x _ n ) \rangle = A ( \Delta , \Delta _ i ; N ) \prod _ { i = 1 } ^ n { 1 \over ( x - x _ i ) ^ { 2 \Delta _ i } }
48240.png	
